Song,Times Played,Writer,Performer,When / Where / Who
Franklin's Tower,2,Grateful Dead,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Hell in a Bucket,2,Grateful Dead,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
Jack Straw,2,Grateful Dead,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
Morning Dew,2,Bonnie Dobson,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Not Fade Away,2,Buddy Holly,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Ramble On Rose,2,Grateful Dead,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Samson & Delilah,2,Traditional (arr. Rev. Gary Davis),Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam ; 2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Sugar Magnolia,2,Grateful Dead,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
Terrapin Station,2,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band ; 2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
A Grateful Overture,1,Giancarlo Aquilanti,Grateful Dead,"2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
Althea,1,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
And We Bid You Goodnight,1,Traditional,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
Around and Around,1,Chuck Berry,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Big River,1,Johnny Cash,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Black Muddy River,1,Grateful Dead,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
Black Peter,1,Grateful Dead,Grateful Dead,"2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
Brown-Eyed Women,1,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Built to Last,1,Grateful Dead,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
Casey Jones,1,Grateful Dead,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Cassidy,1,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Caution (Do Not Step On Tracks),1,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Chinatown Shuffle,1,"Ron ""Pigpen"" McKernan (Grateful Dead)",Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Cold Rain & Snow,1,Traditional,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Could You Be Loved,1,Bob Marley & The Wailers,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
Dancing in the Street,1,Martha and the Vandellas,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Dark Star,1,Grateful Dead,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Days Between,1,Grateful Dead,Grateful Dead,"2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
Dire Wolf,1,Grateful Dead,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Estimated Prophet,1,Grateful Dead,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Eyes of the World,1,Grateful Dead,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Feel Like a Stranger,1,Grateful Dead,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Friend of the Devil,1,Grateful Dead,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Going Down the Road Feeling Bad,1,Traditional,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Good Lovin',1,The Olympics,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Good Times,1,Sam Cooke,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Help on the Way,1,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
He’s Gone,1,Grateful Dead,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
How Sweet It Is (To Be Loved by You),1,Marvin Gaye,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
I Need a Miracle,1,Grateful Dead,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Imagine,1,John Lennon,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
It’s All Over Now,1,The Valentinos,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Jack-A-Roe,1,Traditional,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Just Like Tom Thumb's Blues,1,Bob Dylan,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Liberty,1,Grateful Dead,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
Loser,1,Grateful Dead,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Me and My Uncle,1,John Phillips,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Mexicali Blues,1,Grateful Dead,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Mission in the Rain,1,Jerry Garcia,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Mississippi Half-Step Uptown Toodeloo,1,Grateful Dead,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
New Bloom,1,James Casey,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
New Minglewood Blues,1,Noah Lewis (Memphis Jug Band),Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
On the Road Again,1,Traditional,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
One More Saturday Night,1,Grateful Dead,Grateful Dead,"2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
Peggy-O,1,Traditional,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Piece of My Heart,1,Erma Franklin,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
See See Rider Blues,1,Ma Rainey,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Shakedown Street,1,Grateful Dead,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
She Says,1,RatDog (Bob Weir),Grateful Dead,"2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
Slipknot!,1,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
St Stephen,1,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
Stella Blue,1,Grateful Dead,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Sunshine Daydream,1,Grateful Dead,Grateful Dead,"2025-06-21 – Royal Albert Hall, London – Bob Weir and Wolf Bros."
Take Me to the River,1,Al Green,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
The Golden Road,1,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
The Music Never Stopped,1,Grateful Dead,Grateful Dead,"2025-07-12 – Playing on the Farm, Gloucestershire – Playing on the Farm band"
The Other One,1,Grateful Dead,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
The Race Is On,1,George Jones,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
They Love Each Other,1,Grateful Dead,Grateful Dead,"2025-06-20 – Crown & Sceptre, Streatham, London – Crown & Sceptre jam"
Throwing Stones,1,Grateful Dead,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Touch of Grey,1,Grateful Dead,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
U.S. Blues,1,Grateful Dead,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Unbroken Chain,1,Grateful Dead,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Wake Up Little Susie,1,The Everly Brothers,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
Weather Report Suite,1,Grateful Dead,Grateful Dead,"2024-09-26 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Wharf Rat,1,Grateful Dead,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
When I Paint My Masterpiece,1,Bob Dylan,Grateful Dead,"2023-08-18 – The Rooftop at Pier 17, New York – Billy & the Kids"
Woodstock,1,Joni Mitchell,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
You Ain't Woman Enough (to Take My Man),1,Loretta Lynn,Grateful Dead,"2024-09-27 – Alexandra Palace Theatre, London – Dark Star Orchestra"
Escanaba,2,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings ; 2025-10-10 – Royal Albert Hall, London – Billy Strings"
My Alice,2,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings ; 2025-10-10 – Royal Albert Hall, London – Billy Strings"
Red Daisy,2,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings ; 2025-10-10 – Royal Albert Hall, London – Billy Strings"
The Fire on My Tongue,2,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings ; 2025-10-10 – Royal Albert Hall, London – Billy Strings"
A Robin Built a Nest on Daddy's Grave,1,Ralph Stanley,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Age,1,Jim Croce,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Am I Born to Die?,1,Charles Wesley,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Away From the Mire,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Beaumont Rag,1,Traditional,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Black Mountain Rag,1,Curly Fox,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Brown's Ferry Blues,1,The Delmore Brothers,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Catch & Release,1,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
"Cold, Cold World",1,Blaze Foley,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Dawg's Rag,1,The David Grisman Quintet,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Done Gone,1,Eck Robertson,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Dos Banjos,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Dust in a Baggie,1,Billy Strings & Don Julin,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Ernest T. Grass,1,The Dillards,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Fire Line,1,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Gild the Lily,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Hello City Limits,1,"Harley ""Red"" Allen",Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Hellbender,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Hide and Seek,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Hold the Woodpile Down,1,The Doc Watson Family,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
How Mountain Girls Can Love,1,The Stanley Brothers & The Clinch Mountain Boys,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
In Case You Ever Change Your Mind,1,Bill Anderson,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
In the Clear,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
In the Morning Light,1,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Know It All,1,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Leaving London,1,Tom Paxton,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Meet Me at the Creek,1,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Must Be Seven,1,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Nights in White Satin,1,The Moody Blues,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Nutshell,1,Alice in Chains,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Ole Slew-Foot,1,Johnny Horton,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Pretty Daughter,1,Danny Barnes,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Psycho,1,Eddie Noack,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Richard Petty,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Shady Grove,1,Traditional,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Show Me the Door,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
So Many Miles,1,Billy Failing,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Stratosphere Blues / I Believe in You,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Tennessee,1,Jimmy Martin,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
The Likes of Me,1,Jerry Reed,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
The Train That Carried My Girl From Town,1,Traditional,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Turmoil & Tinfoil,1,Billy Strings,Billy Strings,"2025-10-10 – Royal Albert Hall, London – Billy Strings"
Wargasm,1,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
Watch It Fall,1,Billy Strings,Billy Strings,"2023-11-18 – O2 Academy Glasgow, Glasgow – Billy Strings"
